"","Tree_ID","best_iteration","quality_0","quality_1","quality_2","quality_3","quality_4","quality_5","quality_6","quality_7","quality_8","quality_9","times_outlier_0","times_outlier_1","times_outlier_2","times_outlier_3","times_outlier_4","times_outlier_5","times_outlier_6","times_outlier_7","times_outlier_8","times_outlier_9"
"129","1501a",3,NA,NA,NA,2.82536910037996,NA,NA,0,1.60104708174217,NA,NA,1,1,1,0,5,1,0,0,2,3
"130","1501b",5,1.62252502521706,1.81062966890748,NA,NA,1,2.16240902864033,1.54048942527085,NA,NA,0.96007580826387,0,0,9,19,0,0,0,1,2,0
"131","1505",1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,2,3,15,3,2,2,1
"132","1513a",7,1.71960793131475,NA,NA,0.736613203876135,2.08628053876333,0.952979752876528,NA,2.81196205872013,1.82908442655649,NA,0,5,6,0,0,0,2,0,0,12
"133","1513b",3,1.51083192036334,0.450391575971281,NA,2.08947203649091,NA,NA,NA,NA,0.113310172240813,NA,0,0,1,0,3,1,2,1,0,1
"134","1514",0,2.17465566937737,1.34051123861953,1.5699416812019,1.8268891975288,NA,NA,NA,1.84225216256932,NA,0.309444716902827,0,0,0,0,5,1,2,0,11,0
"135","1517",3,NA,0.390777213323603,NA,3,NA,NA,NA,1.22991389520611,NA,NA,1,0,5,0,7,1,1,0,2,6
"136","1520",5,1.89955701098546,NA,NA,1.23039059509723,2.05335259480459,2.17346525617284,NA,1.88741514394545,1.44630182112737,NA,0,7,1,0,0,0,3,0,0,2
"137","1532a",5,NA,NA,1.74507206893912,NA,NA,2.67461781776215,2.48140102105405,0,NA,NA,2,8,1,4,5,1,1,1,3,6
"138","1532b",5,NA,2,1,NA,NA,2.04150339243417,NA,NA,NA,NA,2,0,0,1,1,0,1,7,4,1
"139","1535",3,NA,NA,1.40180688997699,2.56558723065495,1,NA,NA,NA,NA,NA,1,1,0,0,0,1,2,4,5,2
"140","154",9,NA,NA,NA,0,NA,NA,2.03784461842244,NA,NA,3,1,3,1,0,9,1,0,4,7,0
"141","1544",4,NA,1.48044990819483,NA,NA,2.21047412476773,1,1.46801552152982,NA,NA,1.25806317403131,2,0,2,2,0,0,0,1,6,0
"142","1551",1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,13,0,1,4,2,2,0,2,1,3
